company_id,previous_year,previous_pattern,current_year,current_pattern,pattern_change
COALINDIA,Mar 2013,Reinvestor,Mar 2014,Liquidating Assets,Reinvestor -> Liquidating Assets
COALINDIA,Mar 2017,Liquidating Assets,Mar 2018,Reinvestor,Liquidating Assets -> Reinvestor
COALINDIA,Mar 2019,Reinvestor,Mar 2020,Liquidating Assets,Reinvestor -> Liquidating Assets
COALINDIA,Mar 2021,Liquidating Assets,Mar 2022,Reinvestor,Liquidating Assets -> Reinvestor
DABUR,Mar 2018,Reinvestor,Mar 2019,Liquidating Assets,Reinvestor -> Liquidating Assets
DABUR,Mar 2019,Liquidating Assets,Mar 2020,Reinvestor,Liquidating Assets -> Reinvestor
DIVISLAB,Mar 2016,Reinvestor,Mar 2017,Mixed,Reinvestor -> Mixed
DIVISLAB,Mar 2017,Mixed,Mar 2018,Reinvestor,Mixed -> Reinvestor
DIVISLAB,Mar 2020,Reinvestor,Mar 2021,Liquidating Assets,Reinvestor -> Liquidating Assets
DIVISLAB,Mar 2021,Liquidating Assets,Mar 2022,Reinvestor,Liquidating Assets -> Reinvestor
DLF,Mar 2015,Liquidating Assets,Mar 2016,Reinvestor,Liquidating Assets -> Reinvestor
DLF,Mar 2016,Reinvestor,Mar 2017,Distress Signal,Reinvestor -> Distress Signal
DLF,Mar 2017,Distress Signal,Mar 2018,Reinvestor,Distress Signal -> Reinvestor
DLF,Mar 2018,Reinvestor,Mar 2019,Cash Accumulator,Reinvestor -> Cash Accumulator
DLF,Mar 2019,Cash Accumulator,Mar 2020,Liquidating Assets,Cash Accumulator -> Liquidating Assets
DLF,Mar 2022,Liquidating Assets,Mar 2023,Reinvestor,Liquidating Assets -> Reinvestor
DLF,Mar 2023,Reinvestor,Mar 2024,Mixed,Reinvestor -> Mixed
DMART,Mar 2017,Growth Funded by Debt,Mar 2018,Liquidating Assets,Growth Funded by Debt -> Liquidating Assets
DMART,Mar 2018,Liquidating Assets,Mar 2019,Growth Funded by Debt,Liquidating Assets -> Growth Funded by Debt
DMART,Mar 2020,Growth Funded by Debt,Mar 2021,Reinvestor,Growth Funded by Debt -> Reinvestor
EICHERMOT,Mar 2016,Reinvestor,Mar 2017,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
EICHERMOT,Mar 2017,Growth Funded by Debt,Mar 2018,Reinvestor,Growth Funded by Debt -> Reinvestor
GAIL,Mar 2013,Growth Funded by Debt,Mar 2014,Reinvestor,Growth Funded by Debt -> Reinvestor
GAIL,Mar 2019,Reinvestor,Mar 2020,Mixed,Reinvestor -> Mixed
GAIL,Mar 2020,Mixed,Mar 2021,Reinvestor,Mixed -> Reinvestor
GAIL,Mar 2022,Reinvestor,Mar 2023,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
GAIL,Mar 2023,Growth Funded by Debt,Mar 2024,Reinvestor,Growth Funded by Debt -> Reinvestor
GODREJCP,Mar 2013,Growth Funded by Debt,Mar 2014,Reinvestor,Growth Funded by Debt -> Reinvestor
GODREJCP,Mar 2016,Reinvestor,Mar 2017,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
GODREJCP,Mar 2017,Growth Funded by Debt,Mar 2018,Reinvestor,Growth Funded by Debt -> Reinvestor
GODREJCP,Mar 2018,Reinvestor,Mar 2019,Liquidating Assets,Reinvestor -> Liquidating Assets
GODREJCP,Mar 2019,Liquidating Assets,Mar 2020,Reinvestor,Liquidating Assets -> Reinvestor
GODREJCP,Mar 2023,Reinvestor,Mar 2024,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
GRASIM,Mar 2013,Growth Funded by Debt,Mar 2014,Reinvestor,Growth Funded by Debt -> Reinvestor
GRASIM,Mar 2017,Reinvestor,Mar 2018,Distress Signal,Reinvestor -> Distress Signal
GRASIM,Mar 2019,Distress Signal,Mar 2020,Reinvestor,Distress Signal -> Reinvestor
GRASIM,Mar 2022,Reinvestor,Mar 2023,Distress Signal,Reinvestor -> Distress Signal
HAL,Mar 2018,Mixed,Mar 2019,Distress Signal,Mixed -> Distress Signal
HAL,Mar 2019,Distress Signal,Mar 2020,Mixed,Distress Signal -> Mixed
HAL,Mar 2020,Mixed,Mar 2021,Reinvestor,Mixed -> Reinvestor
HAVELLS,Mar 2018,Reinvestor,Mar 2019,Liquidating Assets,Reinvestor -> Liquidating Assets
HAVELLS,Mar 2019,Liquidating Assets,Mar 2020,Reinvestor,Liquidating Assets -> Reinvestor
HAVELLS,Mar 2020,Reinvestor,Mar 2021,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
HAVELLS,Mar 2021,Growth Funded by Debt,Mar 2022,Reinvestor,Growth Funded by Debt -> Reinvestor
HAVELLS,Mar 2022,Reinvestor,Mar 2023,Liquidating Assets,Reinvestor -> Liquidating Assets
HAVELLS,Mar 2023,Liquidating Assets,Mar 2024,Reinvestor,Liquidating Assets -> Reinvestor
HCLTECH,Mar 2021,Reinvestor,Mar 2022,Liquidating Assets,Reinvestor -> Liquidating Assets
HCLTECH,Mar 2022,Liquidating Assets,Mar 2023,Reinvestor,Liquidating Assets -> Reinvestor
HDFCBANK,Mar 2013,Distress Signal,Mar 2014,Mixed,Distress Signal -> Mixed
HDFCBANK,Mar 2014,Mixed,Mar 2015,Distress Signal,Mixed -> Distress Signal
HDFCBANK,Mar 2016,Distress Signal,Mar 2017,Reinvestor,Distress Signal -> Reinvestor
HDFCBANK,Mar 2017,Reinvestor,Mar 2018,Mixed,Reinvestor -> Mixed
HDFCBANK,Mar 2018,Mixed,Mar 2019,Distress Signal,Mixed -> Distress Signal
HDFCBANK,Mar 2020,Distress Signal,Mar 2021,Reinvestor,Distress Signal -> Reinvestor
HDFCBANK,Mar 2021,Reinvestor,Mar 2022,Distress Signal,Reinvestor -> Distress Signal
HDFCBANK,Mar 2022,Distress Signal,Mar 2023,Mixed,Distress Signal -> Mixed
HDFCBANK,Mar 2023,Mixed,Mar 2024,Liquidating Assets,Mixed -> Liquidating Assets
HDFCLIFE,Mar 2014,Mixed,Mar 2015,Reinvestor,Mixed -> Reinvestor
HDFCLIFE,Mar 2019,Reinvestor,Mar 2020,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
HDFCLIFE,Mar 2020,Growth Funded by Debt,Mar 2021,Mixed,Growth Funded by Debt -> Mixed
HDFCLIFE,Mar 2021,Mixed,Mar 2022,Reinvestor,Mixed -> Reinvestor
HDFCLIFE,Mar 2022,Reinvestor,Mar 2023,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
HDFCLIFE,Mar 2023,Growth Funded by Debt,Mar 2024,Reinvestor,Growth Funded by Debt -> Reinvestor
HEROMOTOCO,Mar 2014,Reinvestor,Mar 2015,Liquidating Assets,Reinvestor -> Liquidating Assets
HEROMOTOCO,Mar 2015,Liquidating Assets,Mar 2016,Reinvestor,Liquidating Assets -> Reinvestor
HEROMOTOCO,Mar 2018,Reinvestor,Mar 2019,Liquidating Assets,Reinvestor -> Liquidating Assets
HEROMOTOCO,Mar 2019,Liquidating Assets,Mar 2020,Reinvestor,Liquidating Assets -> Reinvestor
HINDALCO,Mar 2014,Growth Funded by Debt,Mar 2015,Reinvestor,Growth Funded by Debt -> Reinvestor
HINDALCO,Mar 2017,Reinvestor,Mar 2018,Liquidating Assets,Reinvestor -> Liquidating Assets
HINDALCO,Mar 2018,Liquidating Assets,Mar 2019,Reinvestor,Liquidating Assets -> Reinvestor
HINDALCO,Mar 2019,Reinvestor,Mar 2020,Mixed,Reinvestor -> Mixed
HINDALCO,Mar 2020,Mixed,Mar 2021,Reinvestor,Mixed -> Reinvestor
HINDUNILVR,Mar 2013,Liquidating Assets,Mar 2014,Reinvestor,Liquidating Assets -> Reinvestor
HINDUNILVR,Mar 2014,Reinvestor,Mar 2015,Liquidating Assets,Reinvestor -> Liquidating Assets
HINDUNILVR,Mar 2015,Liquidating Assets,Mar 2016,Reinvestor,Liquidating Assets -> Reinvestor
HINDUNILVR,Mar 2019,Reinvestor,Mar 2020,Liquidating Assets,Reinvestor -> Liquidating Assets
HINDUNILVR,Mar 2020,Liquidating Assets,Mar 2021,Reinvestor,Liquidating Assets -> Reinvestor
ICICIBANK,Mar 2014,Growth Funded by Debt,Mar 2015,Distress Signal,Growth Funded by Debt -> Distress Signal
ICICIBANK,Mar 2015,Distress Signal,Mar 2016,Mixed,Distress Signal -> Mixed
ICICIBANK,Mar 2016,Mixed,Mar 2017,Reinvestor,Mixed -> Reinvestor
ICICIBANK,Mar 2017,Reinvestor,Mar 2018,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
ICICIBANK,Mar 2018,Growth Funded by Debt,Mar 2019,Reinvestor,Growth Funded by Debt -> Reinvestor
ICICIBANK,Mar 2019,Reinvestor,Mar 2020,Mixed,Reinvestor -> Mixed
ICICIBANK,Mar 2020,Mixed,Mar 2021,Reinvestor,Mixed -> Reinvestor
ICICIBANK,Mar 2021,Reinvestor,Mar 2022,Mixed,Reinvestor -> Mixed
ICICIBANK,Mar 2022,Mixed,Mar 2023,Distress Signal,Mixed -> Distress Signal
ICICIBANK,Mar 2023,Distress Signal,Mar 2024,Mixed,Distress Signal -> Mixed
ICICIGI,Mar 2013,Mixed,Mar 2014,Growth Funded by Debt,Mixed -> Growth Funded by Debt
ICICIGI,Mar 2014,Growth Funded by Debt,Mar 2015,Mixed,Growth Funded by Debt -> Mixed
ICICIGI,Mar 2015,Mixed,Mar 2016,Reinvestor,Mixed -> Reinvestor
ICICIGI,Mar 2016,Reinvestor,Mar 2017,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
ICICIGI,Mar 2017,Growth Funded by Debt,Mar 2018,Reinvestor,Growth Funded by Debt -> Reinvestor
ICICIGI,Mar 2021,Reinvestor,Mar 2022,Liquidating Assets,Reinvestor -> Liquidating Assets
ICICIGI,Mar 2022,Liquidating Assets,Mar 2023,Reinvestor,Liquidating Assets -> Reinvestor
ICICIPRULI,Mar 2014,Mixed,Mar 2015,Reinvestor,Mixed -> Reinvestor
ICICIPRULI,Mar 2015,Reinvestor,Mar 2016,Liquidating Assets,Reinvestor -> Liquidating Assets
ICICIPRULI,Mar 2016,Liquidating Assets,Mar 2017,Reinvestor,Liquidating Assets -> Reinvestor
ICICIPRULI,Mar 2020,Reinvestor,Mar 2021,Mixed,Reinvestor -> Mixed
ICICIPRULI,Mar 2021,Mixed,Mar 2022,Reinvestor,Mixed -> Reinvestor
ICICIPRULI,Mar 2023,Reinvestor,Mar 2024,Mixed,Reinvestor -> Mixed
INDIGO,Mar 2014,Growth Funded by Debt,Mar 2015,Reinvestor,Growth Funded by Debt -> Reinvestor
INDIGO,Mar 2017,Reinvestor,Mar 2018,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
INDIGO,Mar 2018,Growth Funded by Debt,Mar 2019,Reinvestor,Growth Funded by Debt -> Reinvestor
INDIGO,Mar 2020,Reinvestor,Mar 2021,Mixed,Reinvestor -> Mixed
INDIGO,Mar 2021,Mixed,Mar 2022,Liquidating Assets,Mixed -> Liquidating Assets
INDIGO,Mar 2022,Liquidating Assets,Mar 2023,Reinvestor,Liquidating Assets -> Reinvestor
INDUSINDBK,Mar 2016,Distress Signal,Mar 2017,Reinvestor,Distress Signal -> Reinvestor
INDUSINDBK,Mar 2017,Reinvestor,Mar 2018,Distress Signal,Reinvestor -> Distress Signal
INDUSINDBK,Mar 2020,Distress Signal,Mar 2021,Reinvestor,Distress Signal -> Reinvestor
INDUSINDBK,Mar 2022,Reinvestor,Mar 2023,Distress Signal,Reinvestor -> Distress Signal
INDUSINDBK,Mar 2023,Distress Signal,Mar 2024,Mixed,Distress Signal -> Mixed
INFY,Mar 2014,Reinvestor,Mar 2015,Liquidating Assets,Reinvestor -> Liquidating Assets
INFY,Mar 2015,Liquidating Assets,Mar 2016,Reinvestor,Liquidating Assets -> Reinvestor
INFY,Mar 2017,Reinvestor,Mar 2018,Liquidating Assets,Reinvestor -> Liquidating Assets
INFY,Mar 2018,Liquidating Assets,Mar 2019,Reinvestor,Liquidating Assets -> Reinvestor
IOC,Mar 2013,Mixed,Mar 2014,Reinvestor,Mixed -> Reinvestor
IOC,Mar 2018,Reinvestor,Mar 2019,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
IOC,Mar 2020,Growth Funded by Debt,Mar 2021,Reinvestor,Growth Funded by Debt -> Reinvestor
IRCTC,Mar 2015,Reinvestor,Mar 2016,Liquidating Assets,Reinvestor -> Liquidating Assets
IRCTC,Mar 2018,Liquidating Assets,Mar 2019,Reinvestor,Liquidating Assets -> Reinvestor
IRCTC,Mar 2019,Reinvestor,Mar 2020,Liquidating Assets,Reinvestor -> Liquidating Assets
IRCTC,Mar 2020,Liquidating Assets,Mar 2021,Reinvestor,Liquidating Assets -> Reinvestor
IRFC,Mar 2023,Distress Signal,Mar 2024,Reinvestor,Distress Signal -> Reinvestor
ITC,Mar 2020,Reinvestor,Mar 2021,Liquidating Assets,Reinvestor -> Liquidating Assets
ITC,Mar 2021,Liquidating Assets,Mar 2022,Reinvestor,Liquidating Assets -> Reinvestor
ITC,Mar 2023,Reinvestor,Mar 2024,Liquidating Assets,Reinvestor -> Liquidating Assets
JINDALSTEL,Mar 2015,Growth Funded by Debt,Mar 2016,Reinvestor,Growth Funded by Debt -> Reinvestor
JINDALSTEL,Mar 2023,Reinvestor,Mar 2024,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
JIOFIN,Mar 2023,Reinvestor,Mar 2024,Mixed,Reinvestor -> Mixed
JSWENERGY,Mar 2019,Reinvestor,Mar 2020,Liquidating Assets,Reinvestor -> Liquidating Assets
JSWENERGY,Mar 2020,Liquidating Assets,Mar 2021,Reinvestor,Liquidating Assets -> Reinvestor
JSWENERGY,Mar 2022,Reinvestor,Mar 2023,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
JSWSTEEL,Mar 2013,Reinvestor,Mar 2014,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
JSWSTEEL,Mar 2014,Growth Funded by Debt,Mar 2015,Reinvestor,Growth Funded by Debt -> Reinvestor
JSWSTEEL,Mar 2018,Reinvestor,Mar 2019,Mixed,Reinvestor -> Mixed
JSWSTEEL,Mar 2019,Mixed,Mar 2020,Growth Funded by Debt,Mixed -> Growth Funded by Debt
JSWSTEEL,Mar 2020,Growth Funded by Debt,Mar 2021,Reinvestor,Growth Funded by Debt -> Reinvestor
KOTAKBANK,Mar 2013,Growth Funded by Debt,Mar 2014,Reinvestor,Growth Funded by Debt -> Reinvestor
KOTAKBANK,Mar 2014,Reinvestor,Mar 2015,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
KOTAKBANK,Mar 2015,Growth Funded by Debt,Mar 2016,Mixed,Growth Funded by Debt -> Mixed
KOTAKBANK,Mar 2017,Mixed,Mar 2018,Distress Signal,Mixed -> Distress Signal
KOTAKBANK,Mar 2018,Distress Signal,Mar 2019,Growth Funded by Debt,Distress Signal -> Growth Funded by Debt
