company_id,year,free_cash_flow,cfo_quality,cfo_quality_label,capex_intensity,capex_label,fcf_conversion,cfo_sign,cfi_sign,cff_sign,pattern_label
BAJAJ-AUTO,Mar 2014,1430.0,1.036094674556213,Strong,59.16619074814392,High,40.83380925185608,+,-,-,Shareholder Returns
BAJAJ-AUTO,Mar 2015,1734.0,0.6986120290812955,Moderate,17.975402081362347,Low,82.02459791863765,+,-,-,Shareholder Returns
BAJAJ-AUTO,Mar 2016,3622.0,0.9086431913321842,Moderate,1.842818428184282,Low,98.15718157181573,+,-,-,Shareholder Returns
BAJAJ-AUTO,Mar 2017,-343.0,0.8009316008825692,Moderate,110.49892868074687,High,-10.498928680746863,+,-,-,Reinvestor
BAJAJ-AUTO,Mar 2018,2374.0,1.0258355060440862,Strong,45.147874306839185,Moderate,54.852125693160815,+,-,-,Shareholder Returns
BAJAJ-AUTO,Mar 2019,2214.0,0.5046672077922078,Moderate,10.97708082026538,Low,89.02291917973461,+,-,-,Shareholder Returns
BAJAJ-AUTO,Mar 2020,5616.0,0.7386799693016116,Moderate,45.87012987012987,Moderate,145.87012987012986,+,+,-,Liquidating Assets
BAJAJ-AUTO,Mar 2021,251.0,0.6423718344657195,Moderate,91.9551282051282,High,8.044871794871796,+,-,-,Shareholder Returns
BAJAJ-AUTO,Mar 2022,4473.0,0.6806681803438209,Moderate,6.576125804145819,Low,106.57612580414582,+,+,-,Liquidating Assets
BAJAJ-AUTO,Mar 2023,6488.0,0.8707920792079208,Moderate,22.94864506348304,Low,122.94864506348304,+,+,-,Liquidating Assets
BAJAJ-AUTO,Mar 2024,6486.0,0.8508043591074209,Moderate,1.0978956999085088,Low,98.90210430009148,+,-,-,Shareholder Returns
BAJAJFINSV,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
BAJAJFINSV,Mar 2013,-3969.0,-3.1264679313459802,Weak,42.66108061253973,Moderate,57.33891938746027,-,+,+,Distress Signal
BAJAJFINSV,Mar 2014,-6043.0,-4.476038338658147,Weak,38.38074844498827,Moderate,61.61925155501172,-,+,+,Distress Signal
BAJAJFINSV,Mar 2015,-7022.0,-4.454545454545454,Weak,34.563414406858634,Moderate,65.43658559314136,-,+,+,Distress Signal
BAJAJFINSV,Mar 2016,-10681.0,-3.5297297297297296,Weak,9.045431342521695,Low,109.0454313425217,-,-,+,Distress Signal
BAJAJFINSV,Mar 2017,-10771.0,-3.165797101449275,Weak,1.3825306720380883,Low,98.61746932796191,-,+,+,Distress Signal
BAJAJFINSV,Mar 2018,-20502.0,-4.688697318007663,Weak,4.708886618998979,Low,104.70888661899897,-,-,+,Distress Signal
BAJAJFINSV,Mar 2019,-33979.0,-5.038332713062895,Weak,25.494903235337567,Moderate,125.49490323533756,-,-,+,Distress Signal
BAJAJFINSV,Mar 2020,-33317.0,-3.898732065398732,Weak,42.56921562754076,Moderate,142.56921562754076,-,-,+,Distress Signal
BAJAJFINSV,Mar 2021,863.0,0.6172118908646668,Moderate,81.02045304596437,High,18.979546954035627,+,-,+,Growth Funded by Debt
BAJAJFINSV,Mar 2022,-32225.0,-4.049795525619437,Weak,4.291654291654292,Low,95.7083457083457,-,+,+,Distress Signal
BAJAJFINSV,Mar 2023,-53425.0,-3.2334152334152333,Weak,35.32168186423505,Moderate,135.32168186423505,-,-,+,Distress Signal
BAJAJFINSV,Mar 2024,-79634.0,-4.403590894517474,Weak,15.959460640125812,Low,115.95946064012581,-,-,+,Distress Signal
BAJAJHLDNG,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
BAJAJHLDNG,Mar 2013,104.0,0.2548491379310345,Weak,78.01268498942918,High,21.987315010570825,+,-,-,Shareholder Returns
BAJAJHLDNG,Mar 2014,353.0,0.4386317907444668,Weak,59.518348623853214,High,40.481651376146786,+,-,-,Shareholder Returns
BAJAJHLDNG,Mar 2015,332.0,0.39231148348940365,Weak,58.291457286432156,High,41.70854271356784,+,-,-,Shareholder Returns
BAJAJHLDNG,Mar 2016,2166.0,0.506401766004415,Moderate,88.8404533565824,High,188.8404533565824,+,+,-,Liquidating Assets
BAJAJHLDNG,Mar 2017,-1295.0,-0.3732308936514355,Weak,40.30335861321777,Moderate,140.30335861321777,-,-,-,Mixed
BAJAJHLDNG,Mar 2018,508.0,0.6143126177024482,Moderate,68.8534641324341,High,31.146535867565913,+,-,-,Shareholder Returns
BAJAJHLDNG,Mar 2019,465.0,0.20603674540682415,Weak,25.955414012738853,Moderate,74.04458598726114,+,-,-,Shareholder Returns
BAJAJHLDNG,Mar 2020,1120.0,0.6233766233766234,Moderate,41.66666666666667,Moderate,58.333333333333336,+,-,-,Shareholder Returns
BAJAJHLDNG,Mar 2021,-36.0,0.07443897099069513,Weak,113.23529411764706,High,-13.23529411764706,+,-,-,Reinvestor
BAJAJHLDNG,Mar 2022,1459.0,0.39020843431895297,Weak,9.378881987577639,Low,90.62111801242236,+,-,-,Shareholder Returns
BAJAJHLDNG,Mar 2023,1591.0,0.3493732308936514,Weak,7.928240740740741,Low,92.07175925925925,+,-,-,Shareholder Returns
BAJAJHLDNG,Mar 2024,1469.0,0.26354378818737273,Weak,24.31736218444101,Low,75.68263781555899,+,-,-,Shareholder Returns
BAJFINANCE,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
BAJFINANCE,Mar 2015,-7424.0,-7.866369710467706,Weak,5.096262740656852,Low,105.09626274065684,-,-,+,Distress Signal
BAJFINANCE,Mar 2016,-10557.0,-7.716966379984362,Weak,6.96048632218845,Low,106.96048632218844,-,-,+,Distress Signal
BAJFINANCE,Mar 2017,-13486.0,-5.685729847494553,Weak,29.1886195995785,Moderate,129.18861959957852,-,-,+,Distress Signal
BAJFINANCE,Mar 2018,-19491.0,-8.239583333333334,Weak,5.227073811144608,Low,94.7729261888554,-,+,+,Distress Signal
BAJFINANCE,Mar 2019,-34441.0,-7.27459324155194,Weak,18.50870552611658,Low,118.50870552611659,-,-,+,Distress Signal
BAJFINANCE,Mar 2020,-33170.0,-4.637537993920972,Weak,35.875798787481564,Moderate,135.87579878748159,-,-,+,Distress Signal
BAJFINANCE,Mar 2021,-1236.0,-0.18257918552036198,Weak,53.159851301115246,High,153.15985130111525,-,-,+,Distress Signal
BAJFINANCE,Mar 2022,-30743.0,-5.277461582242458,Weak,17.112429226206523,Low,82.88757077379347,-,+,+,Distress Signal
BAJFINANCE,Mar 2023,-52506.0,-3.659367396593674,Weak,24.681800911854104,Low,124.6818009118541,-,-,+,Distress Signal
BAJFINANCE,Mar 2024,-79931.0,-5.034945678499758,Weak,9.855689939527213,Low,109.85568993952721,-,-,+,Distress Signal
BANKBARODA,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
BANKBARODA,Mar 2013,22682.0,4.803478981155519,Strong,2.215899292981548,Low,97.78410070701845,+,-,-,Shareholder Returns
BANKBARODA,Mar 2014,41503.0,8.386219221604447,Strong,1.7285061444841714,Low,98.27149385551583,+,-,+,Growth Funded by Debt
BANKBARODA,Mar 2015,17282.0,4.5159493670886075,Strong,3.1169413611391414,Low,96.88305863886086,+,-,-,Shareholder Returns
BANKBARODA,Mar 2016,-14016.0,-1.9890721239817206,Weak,40.00599340725202,Moderate,140.00599340725202,-,-,-,Pre-Revenue
BANKBARODA,Mar 2017,17314.0,9.630727762803234,Strong,3.084242933109432,Low,96.91575706689058,+,-,-,Shareholder Returns
BANKBARODA,Mar 2018,-60106.0,-32.5119825708061,Weak,0.6935602760838974,Low,100.6935602760839,-,-,+,Distress Signal
BANKBARODA,Mar 2019,-3986.0,-1.2427101200686106,Weak,175.0862663906142,High,275.08626639061424,-,-,+,Distress Signal
BANKBARODA,Mar 2020,18392.0,18.889908256880734,Strong,0.7500944363499001,Low,99.2499055636501,+,-,+,Growth Funded by Debt
BANKBARODA,Mar 2021,-1358.0,-0.5475308641975308,Weak,53.10033821871477,High,153.10033821871477,-,-,-,Mixed
BANKBARODA,Mar 2022,2565.0,0.7828060002521114,Moderate,58.69565217391305,High,41.30434782608695,+,-,-,Shareholder Returns
BANKBARODA,Mar 2023,-22450.0,-1.423125624791736,Weak,5.132527863632107,Low,105.13252786363209,-,-,-,Mixed
BANKBARODA,Mar 2024,-7559.0,-0.3325030473263024,Weak,20.481351609818297,Low,120.4813516098183,-,-,+,Distress Signal
BEL,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
BEL,Mar 2013,214.0,-1.6893523600439078,Weak,113.90513320337882,High,-13.905133203378817,-,+,-,Mixed
BEL,Mar 2014,190.0,-0.5976890756302521,Weak,133.3919156414763,High,-33.391915641476274,-,+,-,Mixed
BEL,Mar 2015,595.0,1.1979949874686717,Strong,58.50767085076709,High,41.492329149232916,+,-,-,Shareholder Returns
BEL,Mar 2016,790.0,1.6903515332834704,Strong,65.04424778761062,High,34.95575221238938,+,-,-,Shareholder Returns
BEL,Mar 2017,3054.0,-0.04005252790544977,Weak,5106.55737704918,High,-5006.55737704918,-,+,-,Mixed
BEL,Mar 2018,-693.0,-0.480083857442348,Weak,0.8733624454148471,Low,100.87336244541486,-,-,-,Mixed
BEL,Mar 2019,618.0,0.8023317435082141,Moderate,59.18097754293263,High,40.81902245706737,+,-,-,Shareholder Returns
BEL,Mar 2020,1921.0,1.4082191780821918,Strong,25.252918287937742,Moderate,74.74708171206225,+,-,-,Shareholder Returns
BEL,Mar 2021,2498.0,2.4252380952380954,Strong,50.95228745336736,High,49.04771254663263,+,-,-,Shareholder Returns
BEL,Mar 2022,-665.0,1.7529166666666667,Strong,115.80698835274544,High,-15.806988352745424,+,-,-,Reinvestor
BEL,Mar 2023,3907.0,0.4015405224380442,Weak,225.85487906588827,High,325.85487906588827,+,+,-,Liquidating Assets
BEL,Mar 2024,-1265.0,1.1691342534504392,Strong,127.15174930242542,High,-27.151749302425415,+,-,-,Reinvestor
BHARTIARTL,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
BHARTIARTL,Mar 2013,3932.0,9.972651080723423,Strong,82.60792639773531,High,17.392073602264684,+,-,-,Shareholder Returns
BHARTIARTL,Mar 2014,1052.0,8.689301093077178,Strong,95.98978386002364,High,4.010216139976365,+,-,+,Growth Funded by Debt
